"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Dream",41.1,18.1,205,4300,"male",2008
"2","Gentoo","Biscoe",48.2,15.6,221,5100,"male",2008
"3","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008
"4","Gentoo","Biscoe",47.5,14.2,209,4600,"female",2008
"5","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008
"6","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"7","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"8","Adelie","Dream",40.8,18.9,208,4300,"male",2008
"9","Chinstrap","Dream",50.2,18.7,198,3775,"female",2009
"10","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"11","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"12","Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008
"13","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"14","Adelie","Torgersen",40.3,18,195,3250,"female",2007
"15","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"16","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007
"17","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"18","Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009
"19","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007
"20","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"21","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"22","Chinstrap","Dream",49.5,19,200,3800,"male",2008
"23","Adelie","Dream",38.1,18.6,190,3700,"female",2008
"24","Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009
"25","Adelie","Torgersen",33.5,19,190,3600,"female",2008
"26","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"27","Chinstrap","Dream",49,19.6,212,4300,"male",2009
"28","Adelie","Biscoe",35.7,16.9,185,3150,"female",2008
"29","Adelie","Dream",39.8,19.1,184,4650,"male",2007
"30","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008
"31","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
"32","Adelie","Biscoe",38.1,16.5,198,3825,"female",2009
"33","Chinstrap","Dream",43.5,18.1,202,3400,"female",2009
"34","Gentoo","Biscoe",44.9,13.8,212,4750,"female",2009
"35","Adelie","Dream",40.7,17,190,3725,"male",2009
"36","Adelie","Dream",39,18.7,185,3650,"male",2009
"37","Chinstrap","Dream",45.7,17,195,3650,"female",2009
"38","Adelie","Dream",36.9,18.6,189,3500,"female",2008
"39","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"40","Adelie","Biscoe",36.4,17.1,184,2850,"female",2008
"41","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"42","Gentoo","Biscoe",46.5,14.8,217,5200,"female",2008
"43","Gentoo","Biscoe",48.8,16.2,222,6000,"male",2009
"44","Adelie","Dream",43.2,18.5,192,4100,"male",2008
"45","Adelie","Dream",36,17.8,195,3450,"female",2009
"46","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"47","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007
"48","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"49","Gentoo","Biscoe",47.5,15,218,4950,"female",2009
"50","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"51","Adelie","Torgersen",36.2,16.1,187,3550,"female",2008
"52","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"53","Adelie","Torgersen",36.2,17.2,187,3150,"female",2009
"54","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007
"55","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"56","Adelie","Biscoe",39,17.5,186,3550,"female",2008
"57","Chinstrap","Dream",52,18.1,201,4050,"male",2007
"58","Adelie","Torgersen",37.7,19.8,198,3500,"male",2009
"59","Adelie","Biscoe",39.6,20.7,191,3900,"female",2009
"60","Adelie","Dream",37.3,17.8,191,3350,"female",2008
"61","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007
"62","Adelie","Biscoe",38.2,20,190,3900,"male",2009
"63","Gentoo","Biscoe",52.1,17,230,5550,"male",2009
"64","Adelie","Biscoe",38.1,17,181,3175,"female",2009
"65","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"66","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007
"67","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008
"68","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"69","Adelie","Dream",41.3,20.3,194,3550,"male",2008
"70","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"71","Chinstrap","Dream",50.6,19.4,193,3800,"male",2007
"72","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"73","Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008
"74","Adelie","Torgersen",34.6,17.2,189,3200,"female",2008
"75","Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009
"76","Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008
"77","Gentoo","Biscoe",46.5,14.4,217,4900,"female",2008
"78","Gentoo","Biscoe",51.3,14.2,218,5300,"male",2009
"79","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"80","Gentoo","Biscoe",49.6,16,225,5700,"male",2008
"81","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"82","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"83","Adelie","Dream",36.4,17,195,3325,"female",2007
"84","Adelie","Dream",37.3,16.8,192,3000,"female",2009
"85","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"86","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
"87","Adelie","Dream",36,17.9,190,3450,"female",2007
"88","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"89","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008
"90","Chinstrap","Dream",45.5,17,196,3500,"female",2008
"91","Chinstrap","Dream",51,18.8,203,4100,"male",2008
"92","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"93","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"94","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"95","Chinstrap","Dream",58,17.8,181,3700,"female",2007
"96","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"97","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008
"98","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"99","Adelie","Dream",36.3,19.5,190,3800,"male",2008
"100","Adelie","Biscoe",37.6,17,185,3600,"female",2008
