"","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g"
"1",41.1,18.1,205,4300
"2",48.2,15.6,221,5100
"3",48.5,14.1,220,5300
"4",47.5,14.2,209,4600
"5",45.5,13.9,210,4200
"6",44.1,19.7,196,4400
"7",42.9,17.6,196,4700
"8",40.8,18.9,208,4300
"9",50.2,18.7,198,3775
"10",51.3,19.9,198,3700
"11",36.6,18.4,184,3475
"12",48.4,16.3,220,5400
"13",45.8,14.6,210,4200
"14",40.3,18,195,3250
"15",42.5,20.7,197,4500
"16",51.7,20.3,194,3775
"17",48.2,14.3,210,4600
"18",47.2,13.7,214,4925
"19",46.5,17.9,192,3500
"20",34.6,21.1,198,4400
"21",46.3,15.8,215,5050
"22",49.5,19,200,3800
"23",38.1,18.6,190,3700
"24",45.5,14.5,212,4750
"25",33.5,19,190,3600
"26",37.8,18.3,174,3400
"27",49,19.6,212,4300
"28",35.7,16.9,185,3150
"29",39.8,19.1,184,4650
"30",42.5,16.7,187,3350
"31",45.1,14.5,207,5050
"32",38.1,16.5,198,3825
"33",43.5,18.1,202,3400
"34",44.9,13.8,212,4750
"35",40.7,17,190,3725
"36",39,18.7,185,3650
"37",45.7,17,195,3650
"38",36.9,18.6,189,3500
"39",45.5,15,220,5000
"40",36.4,17.1,184,2850
"41",37.7,18.7,180,3600
"42",46.5,14.8,217,5200
"43",48.8,16.2,222,6000
"44",43.2,18.5,192,4100
"45",36,17.8,195,3450
"46",38.7,19,195,3450
"47",46.1,13.2,211,4500
"48",38.6,17.2,199,3750
"49",47.5,15,218,4950
"50",38.6,21.2,191,3800
"51",36.2,16.1,187,3550
"52",49.2,15.2,221,6300
"53",36.2,17.2,187,3150
"54",45.9,17.1,190,3575
"55",46,18.9,195,4150
"56",39,17.5,186,3550
"57",52,18.1,201,4050
"58",37.7,19.8,198,3500
"59",39.6,20.7,191,3900
"60",37.3,17.8,191,3350
"61",45.2,17.8,198,3950
"62",38.2,20,190,3900
"63",52.1,17,230,5550
"64",38.1,17,181,3175
"65",35,17.9,190,3450
"66",40.5,17.9,187,3200
"67",49.8,16.8,230,5700
"68",52.8,20,205,4550
"69",41.3,20.3,194,3550
"70",38.8,17.2,180,3800
"71",50.6,19.4,193,3800
"72",38.9,17.8,181,3625
"73",48.7,15.7,208,5350
"74",34.6,17.2,189,3200
"75",50.5,15.2,216,5000
"76",45.2,15.8,215,5300
"77",46.5,14.4,217,4900
"78",51.3,14.2,218,5300
"79",39.3,20.6,190,3650
"80",49.6,16,225,5700
"81",35.3,18.9,187,3800
"82",43.3,13.4,209,4400
"83",36.4,17,195,3325
"84",37.3,16.8,192,3000
"85",48.7,15.1,222,5350
"86",43.6,13.9,217,4900
"87",36,17.9,190,3450
"88",39.6,17.2,196,3550
"89",51.1,16.3,220,6000
"90",45.5,17,196,3500
"91",51,18.8,203,4100
"92",45.2,14.8,212,5200
"93",40.6,18.6,183,3550
"94",46,21.5,194,4200
"95",58,17.8,181,3700
"96",38.2,18.1,185,3950
"97",42.6,13.7,213,4950
"98",45.2,16.6,191,3250
"99",36.3,19.5,190,3800
"100",37.6,17,185,3600
